Unreal animation ID,Body Type,Motion Label,File Path
female_25_it_4002_0000,female_25_it_4002,perform,C:/bedlam/animations/gendered_ground_truth/female_25_it_4002/moving_body_para/0000/motion_seq.npz
female_25_it_4002_0001,female_25_it_4002,rolls on ground,C:/bedlam/animations/gendered_ground_truth/female_25_it_4002/moving_body_para/0001/motion_seq.npz
female_25_it_4002_0002,female_25_it_4002,bend,C:/bedlam/animations/gendered_ground_truth/female_25_it_4002/moving_body_para/0002/motion_seq.npz
female_25_it_4002_0003,female_25_it_4002,yoga,C:/bedlam/animations/gendered_ground_truth/female_25_it_4002/moving_body_para/0003/motion_seq.npz
female_25_it_4002_0004,female_25_it_4002,wash,C:/bedlam/animations/gendered_ground_truth/female_25_it_4002/moving_body_para/0004/motion_seq.npz
female_25_it_4002_0005,female_25_it_4002,march,C:/bedlam/animations/gendered_ground_truth/female_25_it_4002/moving_body_para/0005/motion_seq.npz
female_25_it_4002_0006,female_25_it_4002,sports moves,C:/bedlam/animations/gendered_ground_truth/female_25_it_4002/moving_body_para/0006/motion_seq.npz
female_25_it_4002_0007,female_25_it_4002,jump,C:/bedlam/animations/gendered_ground_truth/female_25_it_4002/moving_body_para/0007/motion_seq.npz
female_25_it_4002_0008,female_25_it_4002,lose,C:/bedlam/animations/gendered_ground_truth/female_25_it_4002/moving_body_para/0008/motion_seq.npz
female_25_it_4002_0009,female_25_it_4002,run,C:/bedlam/animations/gendered_ground_truth/female_25_it_4002/moving_body_para/0009/motion_seq.npz
female_25_it_4002_0010,female_25_it_4002,lie,C:/bedlam/animations/gendered_ground_truth/female_25_it_4002/moving_body_para/0010/motion_seq.npz
female_25_it_4002_0011,female_25_it_4002,foot movement,C:/bedlam/animations/gendered_ground_truth/female_25_it_4002/moving_body_para/0011/motion_seq.npz
female_25_it_4002_0012,female_25_it_4002,yoga,C:/bedlam/animations/gendered_ground_truth/female_25_it_4002/moving_body_para/0012/motion_seq.npz
female_25_it_4002_0013,female_25_it_4002,twist,C:/bedlam/animations/gendered_ground_truth/female_25_it_4002/moving_body_para/0013/motion_seq.npz
female_25_it_4002_0014,female_25_it_4002,get injured,C:/bedlam/animations/gendered_ground_truth/female_25_it_4002/moving_body_para/0014/motion_seq.npz
female_25_it_4002_0015,female_25_it_4002,bow,C:/bedlam/animations/gendered_ground_truth/female_25_it_4002/moving_body_para/0015/motion_seq.npz
female_25_it_4002_0016,female_25_it_4002,walk,C:/bedlam/animations/gendered_ground_truth/female_25_it_4002/moving_body_para/0016/motion_seq.npz
female_25_it_4002_0017,female_25_it_4002,bow,C:/bedlam/animations/gendered_ground_truth/female_25_it_4002/moving_body_para/0017/motion_seq.npz
female_25_it_4002_0018,female_25_it_4002,sports moves,C:/bedlam/animations/gendered_ground_truth/female_25_it_4002/moving_body_para/0018/motion_seq.npz
female_25_it_4002_0019,female_25_it_4002,shake,C:/bedlam/animations/gendered_ground_truth/female_25_it_4002/moving_body_para/0019/motion_seq.npz
female_25_it_4002_0020,female_25_it_4002,circular movement,C:/bedlam/animations/gendered_ground_truth/female_25_it_4002/moving_body_para/0020/motion_seq.npz
female_25_it_4002_0021,female_25_it_4002,wash,C:/bedlam/animations/gendered_ground_truth/female_25_it_4002/moving_body_para/0021/motion_seq.npz
female_25_it_4002_0022,female_25_it_4002,point,C:/bedlam/animations/gendered_ground_truth/female_25_it_4002/moving_body_para/0022/motion_seq.npz
female_25_it_4002_0023,female_25_it_4002,cut,C:/bedlam/animations/gendered_ground_truth/female_25_it_4002/moving_body_para/0023/motion_seq.npz
female_25_it_4002_0024,female_25_it_4002,kneel,C:/bedlam/animations/gendered_ground_truth/female_25_it_4002/moving_body_para/0024/motion_seq.npz
female_25_it_4663_0000,female_25_it_4663,grab person / body part,C:/bedlam/animations/gendered_ground_truth/female_25_it_4663/moving_body_para/0000/motion_seq.npz
female_25_it_4663_0001,female_25_it_4663,interact with / use object,C:/bedlam/animations/gendered_ground_truth/female_25_it_4663/moving_body_para/0001/motion_seq.npz
female_25_it_4663_0002,female_25_it_4663,stretch,C:/bedlam/animations/gendered_ground_truth/female_25_it_4663/moving_body_para/0002/motion_seq.npz
female_25_it_4663_0003,female_25_it_4663,jump,C:/bedlam/animations/gendered_ground_truth/female_25_it_4663/moving_body_para/0003/motion_seq.npz
female_25_it_4663_0004,female_25_it_4663,play catch,C:/bedlam/animations/gendered_ground_truth/female_25_it_4663/moving_body_para/0004/motion_seq.npz
female_25_it_4663_0005,female_25_it_4663,yoga,C:/bedlam/animations/gendered_ground_truth/female_25_it_4663/moving_body_para/0005/motion_seq.npz
female_25_it_4663_0006,female_25_it_4663,perform,C:/bedlam/animations/gendered_ground_truth/female_25_it_4663/moving_body_para/0006/motion_seq.npz
female_25_it_4663_0007,female_25_it_4663,head movements,C:/bedlam/animations/gendered_ground_truth/female_25_it_4663/moving_body_para/0007/motion_seq.npz
female_25_it_4663_0008,female_25_it_4663,swing body part,C:/bedlam/animations/gendered_ground_truth/female_25_it_4663/moving_body_para/0008/motion_seq.npz
female_25_it_4663_0009,female_25_it_4663,dance,C:/bedlam/animations/gendered_ground_truth/female_25_it_4663/moving_body_para/0009/motion_seq.npz
female_25_it_4663_0010,female_25_it_4663,stretch,C:/bedlam/animations/gendered_ground_truth/female_25_it_4663/moving_body_para/0010/motion_seq.npz
female_25_it_4663_0011,female_25_it_4663,turn,C:/bedlam/animations/gendered_ground_truth/female_25_it_4663/moving_body_para/0011/motion_seq.npz
female_25_it_4663_0012,female_25_it_4663,kick,C:/bedlam/animations/gendered_ground_truth/female_25_it_4663/moving_body_para/0012/motion_seq.npz
female_25_it_4663_0013,female_25_it_4663,stances,C:/bedlam/animations/gendered_ground_truth/female_25_it_4663/moving_body_para/0013/motion_seq.npz
female_25_it_4663_0014,female_25_it_4663,catch,C:/bedlam/animations/gendered_ground_truth/female_25_it_4663/moving_body_para/0014/motion_seq.npz
female_25_it_4663_0015,female_25_it_4663,take/pick something up,C:/bedlam/animations/gendered_ground_truth/female_25_it_4663/moving_body_para/0015/motion_seq.npz
female_25_it_4663_0016,female_25_it_4663,gesture,C:/bedlam/animations/gendered_ground_truth/female_25_it_4663/moving_body_para/0016/motion_seq.npz
female_25_it_4663_0017,female_25_it_4663,jumping jacks,C:/bedlam/animations/gendered_ground_truth/female_25_it_4663/moving_body_para/0017/motion_seq.npz
female_25_it_4663_0018,female_25_it_4663,fight,C:/bedlam/animations/gendered_ground_truth/female_25_it_4663/moving_body_para/0018/motion_seq.npz
female_25_it_4663_0019,female_25_it_4663,shake,C:/bedlam/animations/gendered_ground_truth/female_25_it_4663/moving_body_para/0019/motion_seq.npz
female_25_it_4663_0020,female_25_it_4663,hop,C:/bedlam/animations/gendered_ground_truth/female_25_it_4663/moving_body_para/0020/motion_seq.npz
female_25_it_4663_0021,female_25_it_4663,dance,C:/bedlam/animations/gendered_ground_truth/female_25_it_4663/moving_body_para/0021/motion_seq.npz
female_25_it_4663_0022,female_25_it_4663,punch,C:/bedlam/animations/gendered_ground_truth/female_25_it_4663/moving_body_para/0022/motion_seq.npz
female_25_it_4663_0023,female_25_it_4663,jump,C:/bedlam/animations/gendered_ground_truth/female_25_it_4663/moving_body_para/0023/motion_seq.npz
female_25_it_4663_0024,female_25_it_4663,jog,C:/bedlam/animations/gendered_ground_truth/female_25_it_4663/moving_body_para/0024/motion_seq.npz
female_25_nl_2229_0000,female_25_nl_2229,throw,C:/bedlam/animations/gendered_ground_truth/female_25_nl_2229/moving_body_para/0000/motion_seq.npz
female_25_nl_2229_0001,female_25_nl_2229,try,C:/bedlam/animations/gendered_ground_truth/female_25_nl_2229/moving_body_para/0001/motion_seq.npz
